Colony,Treatment,Pertreatment,Period,FB
1,AS,ASB,A,0.69531
1,AS,ASB,A,0.43548
1,AS,ASB,A,0.43939
1,AS,ASB,A,0.54310
1,AS,ASB,A,0.02564
1,AS,ASB,A,0.04762
2,AS,ASB,A,0.45055
2,AS,ASB,A,0.06667
2,AS,ASB,A,0.38000
2,AS,ASB,A,0.07547
2,AS,ASB,A,0.07317
2,AS,ASB,A,0.29070
3,AS,ASB,A,0.12000
3,AS,ASB,A,0.31034
3,AS,ASB,A,0.17857
3,AS,ASB,A,0.11111
3,AS,ASB,A,0.09524
3,AS,ASB,A,0.58491
4,S,SB,A,0.50000
4,S,SB,A,0.48649
4,S,SB,A,0.09677
4,S,SB,A,0.18072
4,S,SB,A,0.22727
4,S,SB,A,0.22500
5,S,SB,A,0.50000
5,S,SB,A,0.11765
5,S,SB,A,0.05769
5,S,SB,A,0.47000
5,S,SB,A,0.20000
5,S,SB,A,0.49167
6,S,SB,A,0.46099
6,S,SB,A,0.04762
6,S,SB,A,0.07895
6,S,SB,A,0.30682
6,S,SB,A,0.33121
6,S,SB,A,0.18571
7,C,CB,A,0.45192
7,C,CB,A,0.12097
7,C,CB,A,0.12500
7,C,CB,A,0.38679
7,C,CB,A,0.18367
8,C,CB,A,0.13793
8,C,CB,A,0.19298
8,C,CB,A,0.04225
8,C,CB,A,0.43038
8,C,CB,A,0.08219
8,C,CB,A,0.14286
9,C,CB,A,0.00971
9,C,CB,A,0.35294
9,C,CB,A,0.12500
9,C,CB,A,0.40385
9,C,CB,A,0.55056
9,C,CB,A,0.11864
1,AS,ASA,D,0.00000
1,AS,ASA,D,0.17021
1,AS,ASA,D,0.59375
1,AS,ASA,D,0.11111
1,AS,ASA,D,0.00000
2,AS,ASA,D,0.27419
2,AS,ASA,D,0.25600
2,AS,ASA,D,0.18868
2,AS,ASA,D,0.43434
2,AS,ASA,D,0.02500
2,AS,ASA,D,0.33929
2,AS,ASA,D,0.05714
3,AS,ASA,D,0.45714
3,AS,ASA,D,0.21127
3,AS,ASA,D,0.62500
3,AS,ASA,D,0.62722
3,AS,ASA,D,0.25472
3,AS,ASA,D,0.09259
4,S,SA,D,0.36957
4,S,SA,D,0.05660
4,S,SA,D,0.19048
4,S,SA,D,0.08475
4,S,SA,D,0.31646
4,S,SA,D,0.30208
5,S,SA,D,0.03226
5,S,SA,D,0.03704
5,S,SA,D,0.11429
5,S,SA,D,0.47525
5,S,SA,D,0.03774
6,S,SA,D,0.21053
6,S,SA,D,0.10811
6,S,SA,D,0.09195
6,S,SA,D,0.09890
6,S,SA,D,0.22449
6,S,SA,D,0.20455
7,C,CA,D,0.23288
7,C,CA,D,0.27848
7,C,CA,D,0.54622
7,C,CA,D,0.02273
7,C,CA,D,0.50467
8,C,CA,D,0.10204
8,C,CA,D,0.07143
8,C,CA,D,0.67123
8,C,CA,D,0.45714
8,C,CA,D,0.07843
9,C,CA,D,0.26316
9,C,CA,D,0.20000
9,C,CA,D,0.11111
9,C,CA,D,0.07895